Start,Destination,Distance_KM,Num_Signals,Total_Signal_Wait,Queue_Length,Time_Car,Time_Bike,Time_Cycle,Time_Bus,Time_Metro,Expense_Car,Expense_Bike,Expense_Cycle,Expense_Bus,Expense_Metro,Pollution_Car,Pollution_Bike,Pollution_Cycle,Pollution_Bus,Pollution_Metro,Rush_Car,Rush_Bike,Rush_Cycle,Rush_Bus,Rush_Metro,Pollution_Exposure_Car,Pollution_Exposure_Bike,Pollution_Exposure_Cycle,Pollution_Exposure_Bus,Pollution_Exposure_Metro,Physical_Activity
Greater Kailash,Chandni Chowk,8.164439421981328,5,518,15,30.682490913830307,24.545992731064246,46.02373637074546,34.01898909659637,30,67.57713871608323,25.97057843356843,0,22,42,93.99643937176955,66.08792768377805,0,25.805572266391174,19.557969047583665,0.15,0.12,0,0,0.2974345139513362,221,265.2,331.5,254,98,1
Janakpuri,Laxmi Nagar,10.137681209344208,7,604,68,42.0493635680635,33.6394908544508,63.07404535209525,41.259236281676195,33,58.42148864971516,20.520927830490734,0,32,33,121.52640910374707,58.667493440488904,0,38.4860873785218,16.285838267018743,0.68,0.544,0,0,0.5508782390250384,156,187.2,234.0,185,63,1
Tilak Nagar,Kalkaji,15.49765320520225,3,307,86,32.80300445983316,26.242403567866532,49.20450668974974,28.763605351799793,26,91.81464748103976,54.13194315634516,0,13,43,155.96971753887672,78.51523220559847,0,94.06877838884556,24.705861177068876,0.86,0.6880000000000001,0,0,0.7957428573827845,367,440.4,550.5,277,92,1
Sarojini Nagar,Tughlakabad,27.94489132678492,2,113,30,50.619858331609805,40.49588666528785,75.92978749741471,56.943829997931765,24,161.88329192675116,97.08328972729076,0,22,34,324.97699933910997,237.63181548416335,0,123.71804494646668,37.79779139410446,0.3,0.24,0,0,0.5219863867400171,324,388.8,486.0,157,129,1
Vasant Kunj,Pitampura,9.577122911853612,9,840,19,28.57964180893616,22.86371344714893,42.86946271340424,30.29557017072339,43,71.2980489742693,35.511224031480964,0,39,29,119.33406075009938,73.71775594819611,0,61.913831707180414,13.217493994674374,0.19,0.15200000000000002,0,0,0.5170229005473626,187,224.4,280.5,230,131,1
Tilak Nagar,Pitampura,16.178565609721783,6,401,63,28.69436779665728,22.955494237325823,43.04155169498592,26.033241355988732,32,122.71282364655816,58.81236934447373,0,34,42,226.17865511097065,111.55702592445269,0,100.43337523099889,22.482727773718672,0.63,0.504,0,0,0.7653881828992208,314,376.8,471.0,120,150,1
Chandni Chowk,Laxmi Nagar,33.566793836184395,2,155,49,45.41473576220598,36.331788609764786,68.12210364330898,49.297682914647176,42,296.9310186316704,96.92094284670432,0,10,26,481.8203781502146,245.29986437310114,0,238.1729677322025,56.25100291486429,0.49,0.392,0,0,0.4889307279575899,297,356.4,445.5,171,88,1
Okhla,Moti Nagar,5.046689918314265,5,475,81,21.498457304479373,17.198765843583498,32.24768595671906,14.798148765375249,45,35.891192255086025,15.48894598775116,0,30,35,59.443273536353466,25.3506644681476,0,25.297820750201442,9.259706727216585,0.81,0.6480000000000001,0,0,0.7139409686384286,227,272.4,340.5,175,150,1
Greater Kailash,Rohini,15.501626429718828,6,628,48,47.168942218009924,37.73515377440794,70.75341332701488,49.80273066161191,33,135.9606166908349,45.19683261163874,0,39,27,161.76528237421817,78.38252105106193,0,97.04788386505344,40.2725364995495,0.48,0.384,0,0,0.7051292353447436,305,366.0,457.5,101,88,1
Connaught Place,Sarojini Nagar,36.97337027339401,7,690,48,77.90519926655847,62.324159413246775,116.8577988998377,86.48623911987016,41,192.45064447032624,124.82762973383464,0,30,43,369.7645596872412,211.55860149691398,0,238.54374833035263,95.50348856180165,0.48,0.384,0,0,0.44381345775867254,371,445.2,556.5,164,107,1
Kashmere Gate,Laxmi Nagar,14.805365569984426,6,624,71,54.20111035074946,43.36088828059957,81.3016655261242,54.64133242089935,25,141.26939136251514,30.447550811137248,0,29,34,210.73928796744588,138.15164353645437,0,101.32542199026607,32.26199172895429,0.71,0.568,0,0,0.7665571280757724,215,258.0,322.5,204,146,1
Janakpuri,AIIMS,14.38174355970196,5,460,66,49.88786956432763,39.91029565146211,74.83180434649145,51.26544347719315,20,100.0839615129175,32.63839946843832,0,19,41,174.03508906480036,72.73283320374249,0,112.2998745768137,37.20304196569535,0.66,0.528,0,0,0.4747616407405063,302,362.4,453.0,179,79,1
Dwarka,Connaught Place,30.711834288279057,4,303,91,87.31266550743196,69.85013240594557,130.96899826114793,92.97519860891835,27,159.35301192810073,62.00041297854027,0,17,37,340.7840431466788,235.37195868488698,0,185.34448369363474,58.73004593771979,0.91,0.7280000000000001,0,0,0.2110103644494838,205,246.0,307.5,101,116,1
Rohini,Kalkaji,20.725930961451027,6,449,12,29.024221358346935,23.21937708667755,43.5363320375204,32.22906563001632,28,157.9349963255309,65.7137778104789,0,30,40,255.65628652066798,191.29669449709797,0,75.92949222537003,45.681592224172114,0.12,0.096,0,0,0.47706373732129,397,476.4,595.5,103,65,1
Sarojini Nagar,Vasant Kunj,14.395550743959982,9,890,86,36.59436605948361,29.27549284758689,54.89154908922542,31.513239271380336,32,83.7628886482456,48.66592723696072,0,37,45,203.39822238818763,81.27387189370634,0,77.46240538309084,29.830578530257856,0.86,0.6880000000000001,0,0,0.36471729429387867,330,396.0,495.0,241,129,1
Karol Bagh,Saket,33.716255419431,6,876,73,78.7282167259865,62.982573380789205,118.09232508897975,83.2738600711838,34,311.771196102542,114.50700522527728,0,36,46,447.02655579687297,182.08960314395142,0,233.1383461079264,39.80008106573279,0.73,0.584,0,0,0.4216795120102357,203,243.6,304.5,261,66,1
Moti Nagar,Uttam Nagar,26.719862197862017,2,211,83,55.582322120443095,44.465857696354476,83.37348318066464,56.49878654453171,32,242.34427528400172,98.17269888091785,0,37,40,361.526945894998,221.7729551222138,0,187.82278629488735,78.08905743388964,0.83,0.664,0,0,0.7449089627439809,206,247.2,309.0,119,131,1
Janakpuri,Laxmi Nagar,9.516687149017596,8,785,60,29.74323941982162,23.794591535857297,44.61485912973243,25.891887303785946,22,87.08582901009571,30.304710824530705,0,22,21,137.74091136798688,59.66761349242695,0,53.28255076058509,15.260551021986384,0.6,0.48,0,0,0.36113239629596067,345,414.0,517.5,107,52,1
Chandni Chowk,Uttam Nagar,27.59096758001865,7,605,74,60.74182897441244,48.593463179529955,91.11274346161866,62.49019476929493,25,220.19476562171957,75.9444009495374,0,38,23,287.94981602738324,205.48456521811747,0,161.17540047401855,63.1472093245688,0.74,0.592,0,0,0.7716171252881883,346,415.2,519.0,219,80,1
Rohini,Chandni Chowk,9.352734226029138,7,760,60,31.55651098001967,25.245208784015738,47.33476647002951,28.267813176023605,43,87.80108144885254,28.202332815312886,0,21,31,117.98403001549062,61.385084991006565,0,56.856472921812745,22.998136051888164,0.6,0.48,0,0,0.2059731837477601,344,412.8,516.0,142,122,1
Mayur Vihar,Greater Kailash,39.81613888843725,8,828,53,66.66137796120242,53.32910236896194,99.99206694180363,71.39365355344289,42,253.38988727640623,88.74020991021551,0,38,43,596.6748124539916,305.28373956967374,0,157.6302333367053,65.58552109449361,0.53,0.42400000000000004,0,0,0.5566661436729645,368,441.59999999999997,552.0,150,74,1
Rajouri Garden,Kalkaji,35.30951676031819,9,949,27,54.62783260015928,43.70226608012743,81.94174890023892,60.15339912019113,20,214.72244401873812,96.59352318859177,0,33,47,402.0003901789229,249.5334852032225,0,112.99896777029656,49.30170012079718,0.27,0.21600000000000003,0,0,0.5542825326503958,316,379.2,474.0,216,76,1
Janakpuri,Kashmere Gate,23.430059363663098,3,363,36,34.95626633845672,27.96501307076538,52.434399507685086,37.147519606148066,40,125.2812503900714,57.111479331600535,0,23,35,282.8922716927678,163.62477540911945,0,149.94952766612334,41.48007342640052,0.36,0.288,0,0,0.6416122927568038,178,213.6,267.0,243,144,1
Shahdara,Sarojini Nagar,22.46898321022441,4,425,18,47.04154589672656,37.63323671738125,70.56231884508983,53.84985507607187,25,112.61864757841657,82.09353504044164,0,37,37,262.8421853872584,201.81150594074646,0,121.78591517465055,34.00766340893896,0.18,0.144,0,0,0.6720283181641107,378,453.59999999999997,567.0,191,66,1
Shahdara,Okhla,10.519829846258022,2,162,14,16.387929292081175,13.11034343366494,24.581893938121762,18.06551515049741,25,100.20723444825305,35.798330154964326,0,38,39,134.99970892601758,94.11075651838271,0,65.91286688197245,26.028007642804777,0.14,0.11200000000000002,0,0,0.7573728295203968,319,382.8,478.5,218,85,0
Moti Nagar,Okhla,15.636564846452513,6,421,4,28.29885505671653,22.639084045373224,42.44828258507479,32.55862606805984,45,113.5656802107934,53.79619398887809,0,20,41,215.56351597041717,143.65547877564072,0,109.03204702948771,46.04694490675473,0.04,0.032,0,0,0.5279260111450754,187,224.4,280.5,231,111,1
Tughlakabad,Lajpat Nagar,7.666100427446253,10,1075,74,33.52354650113145,26.81883720090516,50.28531975169717,28.428255801357736,33,62.87777783847585,26.416049401724912,0,11,32,80.5924097008402,76.09124428557351,0,27.22372452955597,9.270814962079216,0.74,0.592,0,0,0.3055733187050993,363,435.59999999999997,544.5,238,140,1
Kalkaji,Laxmi Nagar,14.208695820093816,2,194,45,26.091294891722246,20.873035913377798,39.13694233758337,25.909553870066695,37,76.92426056469515,51.52133302940401,0,28,31,205.11703836221076,132.5084060661436,0,61.88552977509233,21.442090702308338,0.45,0.36000000000000004,0,0,0.632037961309073,394,472.79999999999995,591.0,194,112,1
Okhla,Sarojini Nagar,15.297600171577542,2,237,99,31.108275583498557,24.886620466798846,46.66241337524784,25.929930700198266,38,88.11168776326825,38.494410471908566,0,38,35,218.386099012819,116.21200569900131,0,62.08992215040932,31.14799951259331,0.99,0.792,0,0,0.4044868920964954,387,464.4,580.5,287,79,1
Rohini,Uttam Nagar,14.869587360514423,3,373,51,27.20833590482591,21.76666872386073,40.812503857238866,25.45000308579109,22,98.68350163361595,43.11977453718397,0,36,22,182.38568193178898,78.68283330312934,0,86.11173653003014,33.39499470471406,0.51,0.40800000000000003,0,0,0.46960731969692454,243,291.59999999999997,364.5,190,135,1
Shahdara,Uttam Nagar,32.433374879057894,6,471,71,72.46013758929516,57.96811007143613,108.69020638394274,77.15216510715418,37,317.1767220028836,95.59051566522973,0,16,36,357.0998827719485,309.15293434751584,0,242.78766584211942,89.38510741103151,0.71,0.568,0,0,0.7543124822085796,386,463.2,579.0,252,140,1
Tilak Nagar,Lajpat Nagar,35.996443882691565,8,763,42,101.23924033456517,80.99139226765215,151.85886050184774,114.2870884014782,45,291.30580944647244,129.78803990351142,0,15,35,475.52819951423237,257.99857216974146,0,234.49668951681977,44.83120793103891,0.42,0.336,0,0,0.5715485897126996,215,258.0,322.5,178,124,1
Saket,Laxmi Nagar,8.554548838012897,7,548,46,23.788900640621563,19.03112051249725,35.683350960932344,21.94668076874587,24,85.08113475586954,18.959474879672378,0,37,39,128.19226727630908,75.0202022112844,0,63.321535866602176,11.1240588583877,0.46,0.36800000000000005,0,0,0.36790622050199756,233,279.59999999999997,349.5,142,71,1
Kalkaji,Sarojini Nagar,20.942989763795943,8,896,68,50.93612341745751,40.74889873396601,76.40418512618626,51.123348100949,40,115.80867705180079,70.58085197521328,0,27,28,295.64715257523005,132.44096880513365,0,82.48261701039664,43.812796412832014,0.68,0.544,0,0,0.7774862213984255,237,284.4,355.5,172,123,1
AIIMS,Kashmere Gate,17.992475328660255,2,144,25,48.137585011109316,38.51006800888746,72.20637751666398,54.965102013331176,29,170.26852958836412,64.20770349914258,0,15,37,216.05104790169398,156.3111840829033,0,67.54845475626733,29.044536258093004,0.25,0.2,0,0,0.2641473027622261,369,442.8,553.5,158,132,1
Shahdara,Kalkaji,16.07583894140692,10,1027,99,51.36107981255229,41.08886385004183,77.04161971882843,47.433295775062746,43,116.53163097415172,42.150041052894586,0,40,40,167.61730797514574,145.90804285105364,0,79.91697343402332,25.68203892112498,0.99,0.792,0,0,0.45154713141703606,218,261.59999999999997,327.0,122,142,1
Rajouri Garden,Kalkaji,18.820279823731134,8,776,34,33.85721773047983,27.085774184383865,50.78582659571975,34.6286612765758,44,132.2170690646438,51.148580294449495,0,12,33,248.02000461110444,151.83221238362577,0,64.7767508624883,43.661519736626765,0.34,0.272,0,0,0.6921117324467112,217,260.4,325.5,195,101,1
Pitampura,Sarojini Nagar,16.271888644051344,2,246,78,40.67072891156761,32.53658312925409,61.00609336735141,39.60487469388113,20,120.29770404908251,47.938861531866515,0,21,32,188.6432836083444,154.71368784237478,0,61.16133913895822,23.7365775781689,0.78,0.6240000000000001,0,0,0.24718280142855975,337,404.4,505.5,176,101,1
Okhla,Dwarka,11.515822009672192,3,333,25,22.92757131643513,18.342057053148107,34.391356974652695,24.113085579722156,30,98.3480318790706,24.27431368872936,0,20,36,140.83974891123202,57.925731423024466,0,56.99107424454406,26.96110943665448,0.25,0.2,0,0,0.6107166918982917,369,442.8,553.5,115,59,1
Tughlakabad,Vasant Kunj,37.72865077922246,7,847,11,61.14185637169013,48.91348509735211,91.7127845575352,69.37022764602816,38,328.33833284898515,107.8594121712334,0,15,50,527.6410431921885,260.1318376805523,0,246.21537172236023,101.85399768551412,0.11,0.08800000000000001,0,0,0.3669707597511035,234,280.8,351.0,148,123,1
Tilak Nagar,Moti Nagar,23.164420547773908,10,953,8,55.47367917642717,44.378943341141735,83.21051876464075,63.5684150117126,32,200.4630656740137,67.90093322165986,0,11,37,285.9379984548197,151.36815226763312,0,87.37570187191028,38.58086172571288,0.08,0.064,0,0,0.6042114243736678,334,400.8,501.0,110,120,1
Shahdara,Uttam Nagar,36.80462889732392,9,717,63,94.18253097849478,75.34602478279582,141.27379646774216,103.61903717419374,35,186.10291202782835,105.12649765435256,0,28,27,519.9828903319386,197.4487686586841,0,192.54298982913176,54.10415467730507,0.63,0.504,0,0,0.44271545104419946,186,223.2,279.0,214,72,1
Kalkaji,Nehru Place,23.74083359319536,7,609,0,75.05075968079852,60.04060774463882,112.57613952119777,88.06091161695822,26,173.8895490945548,84.119539005969,0,17,41,296.50297225220953,226.46041319142876,0,89.42722398002783,50.846803397267564,0.0,0.0,0,0,0.578759911951477,219,262.8,328.5,279,137,1
Shahdara,Pitampura,14.88285432855736,7,620,52,30.271057905275335,24.21684632422027,45.406586857913,28.325269486330402,33,119.7931986997121,45.41568355457805,0,17,37,205.56899916781813,120.07487548355446,0,73.0532873660042,32.368789225857654,0.52,0.41600000000000004,0,0,0.517348858862853,320,384.0,480.0,198,61,1
Saket,Tughlakabad,17.415076052779256,7,735,89,59.018216233917386,47.21457298713391,88.52732435087609,58.82185948070086,39,155.93485320427556,63.41744300516756,0,36,35,254.38745913004385,157.63200449234395,0,122.98644317503455,44.23714154548514,0.89,0.7120000000000001,0,0,0.24190654135873768,199,238.79999999999998,298.5,215,144,1
Tughlakabad,Laxmi Nagar,32.38262445511165,5,578,99,90.75833250657989,72.60666600526392,136.13749875986983,96.30999900789587,39,180.55037644743615,102.91098343806351,0,27,36,390.56474800564087,307.84937696238444,0,155.07108575900907,83.35382965971904,0.99,0.792,0,0,0.3036663534782728,202,242.39999999999998,303.0,101,132,1
Kalkaji,Tilak Nagar,33.39768446365341,10,956,19,74.82325523224037,59.8586041857923,112.23488284836056,85.58790627868844,24,183.6288134373552,103.07228579507287,0,20,20,375.12063580631207,253.89251661777288,0,252.3509367008524,63.23648020997933,0.19,0.15200000000000002,0,0,0.5232900393577944,235,282.0,352.5,114,60,1
Connaught Place,Tilak Nagar,22.370597196325225,7,766,0,50.41870399642248,40.33496319713799,75.62805599463371,58.10244479570697,25,157.12403529896937,73.34940903950155,0,12,33,333.5199415378133,131.0984235883814,0,109.66225972354745,50.27665713785599,0.0,0.0,0,0,0.7951463178537612,216,259.2,324.0,145,87,1
Sarojini Nagar,Kashmere Gate,28.358363818441013,5,442,88,49.967608512279455,39.97408680982357,74.95141276841917,48.96113021473534,45,262.95549827926834,106.08143662992002,0,33,35,402.4008637625953,231.46008540470842,0,147.6350649506662,48.2090368051536,0.88,0.7040000000000001,0,0,0.516422579898816,318,381.59999999999997,477.0,229,109,1
Chandni Chowk,Uttam Nagar,15.518936028521265,4,326,52,30.74977327810586,24.59981862248469,46.12465991715879,29.899727933727032,23,85.21482190401062,54.40906958658556,0,11,46,181.87611100430382,136.9957640337139,0,110.53577070065768,44.680055185365575,0.52,0.41600000000000004,0,0,0.6412266011752635,244,292.8,366.0,105,120,1
Moti Nagar,Connaught Place,17.75375631653393,6,564,22,33.36279019220105,26.69023215376084,50.04418528830157,35.83534823064125,39,109.87741258812596,50.760361809217706,0,28,45,257.1063887989991,142.78413539079702,0,88.48136007174107,30.01762635478449,0.22,0.17600000000000002,0,0,0.6715048033627862,273,327.59999999999997,409.5,119,136,1
Chandni Chowk,Karol Bagh,29.959179724500256,10,876,31,67.90531238192315,54.32424990553852,101.85796857288473,75.08637485830778,40,172.57976424625136,95.14592817138988,0,16,48,356.46041498855345,285.37884414846286,0,178.30626158952626,51.12306470669179,0.31,0.248,0,0,0.3464698468241295,272,326.4,408.0,172,62,1
Pitampura,Moti Nagar,25.999541829218554,5,473,47,72.1813936001526,57.74511488012209,108.2720904002289,80.41767232018312,25,177.96531811723685,99.37375621503593,0,15,39,349.98138150646025,134.94425064209503,0,86.42871301642546,59.09089195519862,0.47,0.376,0,0,0.7383560346019689,198,237.6,297.0,230,69,1
Pitampura,Connaught Place,24.0377366496363,2,172,2,65.31430291105107,52.25144232884086,97.97145436657661,77.97716349326127,44,172.75818324399162,95.15145108135674,0,22,37,356.13827742170275,189.35233062195599,0,108.04796505049211,34.52795164427312,0.02,0.016,0,0,0.39917719470195456,207,248.39999999999998,310.5,102,119,1
Rajouri Garden,Vasant Kunj,7.910042482551367,3,347,4,13.973011942663886,11.17840955413111,20.95951791399583,15.767614331196663,30,48.6126494693711,29.005659927516838,0,36,20,91.40509777122284,51.680493650470204,0,34.77541064364419,8.022545003662925,0.04,0.032,0,0,0.2943989620193862,306,367.2,459.0,154,90,0
Shahdara,Rohini,12.596095730972252,2,231,43,23.54324195119594,18.834593560956755,35.314862926793914,22.85189034143513,35,118.19755510809689,37.27235529451815,0,18,26,133.42613781046134,74.33404755872253,0,43.701534379943595,29.486646569141257,0.43,0.34400000000000003,0,0,0.6441504955696218,382,458.4,573.0,255,143,1
Saket,Tughlakabad,6.61722758731452,2,221,39,14.910682886306027,11.928546309044822,22.36602432945904,13.692819463567233,23,47.53770932656919,14.23724327222709,0,31,23,72.52499163828467,42.672604425208704,0,28.333143556678944,9.495955445412008,0.39,0.31200000000000006,0,0,0.5297260615656627,370,444.0,555.0,198,98,0
Lajpat Nagar,AIIMS,14.993849891487802,2,261,50,30.8622259238952,24.68978073911616,46.2933388858428,30.234671108674238,35,130.04139357520233,58.904926253943124,0,34,31,191.2385344001598,130.4251868213169,0,63.19836145390077,33.10026803481543,0.5,0.4,0,0,0.35276172670996264,395,474.0,592.5,248,92,1
Greater Kailash,Chandni Chowk,34.709215458725936,9,845,40,70.19048114093646,56.15238491274917,105.28572171140468,76.62857736912375,37,187.41608239616903,85.78216690642036,0,31,28,494.337586963093,316.56354432074374,0,222.21844009505364,93.52166363721327,0.4,0.32000000000000006,0,0,0.25221255075612653,268,321.59999999999997,402.0,110,101,1
Pitampura,Rajouri Garden,39.63991234274596,2,123,24,83.18934858787989,66.55147887030391,124.78402288181984,97.02721830545586,31,234.45956929666642,111.09801765994445,0,20,44,577.1286247406948,335.5185411901012,0,196.88405690443014,83.16800585054669,0.24,0.192,0,0,0.20887600803220185,272,326.4,408.0,181,96,1
Sarojini Nagar,Kashmere Gate,35.996858914244626,9,1015,68,93.33843618167687,74.6707489453415,140.0076542725153,101.60612341801225,44,340.76770824143284,72.0381876552445,0,15,39,363.02474627334453,356.37869285434385,0,192.58288563841,73.04876471837588,0.68,0.544,0,0,0.7311437437532433,365,438.0,547.5,146,63,1
Kalkaji,Karol Bagh,7.1363601552093545,3,335,59,19.470675660789652,15.576540528631723,29.20601349118448,16.36481079294758,32,54.75895798252641,20.65766870494578,0,37,48,95.86824773361873,52.27643978312409,0,42.23010737191682,14.504981520535013,0.59,0.472,0,0,0.6023453664057732,211,253.2,316.5,161,99,0
Kashmere Gate,Karol Bagh,7.979249037971969,9,1037,55,41.00287650381233,32.802301203049865,61.5043147557185,39.80345180457479,37,44.43218896081539,25.142724805869644,0,14,29,102.10591677690573,76.00736874866078,0,37.28969376928536,18.227493772805623,0.55,0.44000000000000006,0,0,0.21224133955965194,364,436.8,546.0,241,50,1
Kashmere Gate,Sarojini Nagar,18.14121112330345,3,301,61,46.88362061711252,37.506896493690014,70.32543092566878,48.06034474053502,25,99.80573586596292,64.15854601636612,0,32,21,202.12836407700763,161.33049373638417,0,99.59826835500931,46.72125408181425,0.61,0.488,0,0,0.2946465169746974,333,399.59999999999997,499.5,278,131,1
Tilak Nagar,Greater Kailash,17.501006108461787,9,1113,84,46.664029693504105,37.33122375480328,69.99604454025615,42.79683563220493,21,149.9267182206962,45.80118428537611,0,23,39,182.45594331050884,99.98947746014585,0,128.33462429668276,26.454993116442736,0.84,0.672,0,0,0.3921269307436417,254,304.8,381.0,233,84,1
Saket,Okhla,9.382227890128773,4,401,13,19.87999983152404,15.903999865219232,29.819999747286058,21.455999797828845,44,69.640035472729,35.3520632032355,0,16,34,125.18142475705184,75.50370283638851,0,46.75453179707284,23.17766165438864,0.13,0.10400000000000001,0,0,0.6011313178149877,272,326.4,408.0,118,104,0
Chandni Chowk,Okhla,7.793449361374377,9,915,79,31.064858190232442,24.851886552185956,46.59728728534866,25.87782982827893,38,54.074544138446306,30.308961368347646,0,14,30,108.33681166934352,64.14856957106034,0,32.98210772197553,11.732511594612356,0.79,0.6320000000000001,0,0,0.6736419395322097,373,447.59999999999997,559.5,152,145,1
